attack,arm,metric,n,mean,ci95
A1,C,tp,5,1.0,0.0
A1,C,fp,5,0.2,0.556
A1,C,tn,5,1.8,0.556
A1,C,fn,5,0.0,0.0
A1,C,accuracy,5,0.9333333333333332,0.18533333333333335
A1,C,precision,5,0.9,0.278
A1,C,recall,5,1.0,0.0
A1,C,f1,5,0.9333333333333332,0.18533333333333335
A1,C,fpr,5,0.1,0.278
A1,C,fnr,5,0.0,0.0
A1,C,isolation_rate,5,1.0,0.0
A1,C,mean_detection_latency_s,5,15.0,0.0
A1,C,baseline_kbps,5,364.544,40.59706184324623
A1,C,attack_kbps,5,353.91427277628026,48.079839722105234
A1,C,recovered_kbps,5,353.91427277628026,48.079839722105234
A1,C,recovery_ratio,5,0.9712772183191059,0.09295734975355165
A1,C,degradation_ratio,5,0.9712772183191059,0.09295734975355165
A1,C,recovery_time_s,0,,
A1,C,throughput_debt_kbit,5,12184.043519999997,7305.8461175692555
A1,C,recovered,5,0.0,0.0
A1,C,isolation_s,0,,
A1,D,tp,5,1.0,0.0
A1,D,fp,5,0.2,0.556
A1,D,tn,5,1.8,0.556
A1,D,fn,5,0.0,0.0
A1,D,accuracy,5,0.9333333333333332,0.18533333333333335
A1,D,precision,5,0.9,0.278
A1,D,recall,5,1.0,0.0
A1,D,f1,5,0.9333333333333332,0.18533333333333335
A1,D,fpr,5,0.1,0.278
A1,D,fnr,5,0.0,0.0
A1,D,isolation_rate,5,1.0,0.0
A1,D,mean_detection_latency_s,5,15.0,0.0
A1,D,baseline_kbps,5,363.47904,38.55362828360398
A1,D,attack_kbps,1,344.064,
A1,D,recovered_kbps,5,335.99358029723896,60.284376352497524
A1,D,recovery_ratio,5,0.9227891011899301,0.12030315614108061
A1,D,degradation_ratio,1,0.9240924092409242,
A1,D,recovery_time_s,5,5.2,6.302695931107576
A1,D,throughput_debt_kbit,5,16198.615039999995,10220.742334227827
A1,D,recovered,5,1.0,0.0
A1,D,isolation_s,5,20.0,13.18669784290214
A1,E,tp,5,1.0,0.0
A1,E,fp,5,0.2,0.556
A1,E,tn,5,1.8,0.556
A1,E,fn,5,0.0,0.0
A1,E,accuracy,5,0.9333333333333332,0.18533333333333335
A1,E,precision,5,0.9,0.278
A1,E,recall,5,1.0,0.0
A1,E,f1,5,0.9333333333333332,0.18533333333333335
A1,E,fpr,5,0.1,0.278
A1,E,fnr,5,0.0,0.0
A1,E,isolation_rate,5,1.0,0.0
A1,E,mean_detection_latency_s,5,15.0,0.0
A1,E,baseline_kbps,5,364.544,40.59706184324623
A1,E,attack_kbps,5,372.3537066666667,73.46733242894273
A1,E,recovered_kbps,5,344.2020674157303,24.679177154627926
A1,E,recovery_ratio,5,0.9467894876242356,0.057623638723988284
A1,E,degradation_ratio,5,1.0178145178384952,0.11065485455540754
A1,E,recovery_time_s,5,44.8,81.22834613606261
A1,E,throughput_debt_kbit,5,14020.11648,6688.1886650201395
A1,E,recovered,5,1.0,0.0
A1,E,isolation_s,5,45.0,0.0
A2,C,tp,5,1.0,0.0
A2,C,fp,5,0.0,0.0
A2,C,tn,5,2.0,0.0
A2,C,fn,5,0.0,0.0
A2,C,accuracy,5,1.0,0.0
A2,C,precision,5,1.0,0.0
A2,C,recall,5,1.0,0.0
A2,C,f1,5,1.0,0.0
A2,C,fpr,5,0.0,0.0
A2,C,fnr,5,0.0,0.0
A2,C,isolation_rate,5,1.0,0.0
A2,C,mean_detection_latency_s,5,24.0,11.12
A2,C,baseline_kbps,5,364.544,40.59706184324623
A2,C,attack_kbps,5,339.5683363881401,46.0273711665715
A2,C,recovered_kbps,5,339.5683363881401,46.0273711665715
A2,C,recovery_ratio,5,0.9307749407087298,0.051717277623647785
A2,C,degradation_ratio,5,0.9307749407087298,0.051717277623647785
A2,C,recovery_time_s,0,,
A2,C,throughput_debt_kbit,5,15569.22368,3378.933596142022
A2,C,recovered,5,0.0,0.0
A2,C,isolation_s,0,,
A2,D,tp,5,1.0,0.0
A2,D,fp,5,0.0,0.0
A2,D,tn,5,2.0,0.0
A2,D,fn,5,0.0,0.0
A2,D,accuracy,5,1.0,0.0
A2,D,precision,5,1.0,0.0
A2,D,recall,5,1.0,0.0
A2,D,f1,5,1.0,0.0
A2,D,fpr,5,0.0,0.0
A2,D,fnr,5,0.0,0.0
A2,D,isolation_rate,5,1.0,0.0
A2,D,mean_detection_latency_s,5,24.0,11.12
A2,D,baseline_kbps,5,363.47904,38.55362828360398
A2,D,attack_kbps,1,294.0928,
A2,D,recovered_kbps,5,341.952878128515,32.16275714216214
A2,D,recovery_ratio,5,0.9446319672190784,0.10993994371810882
A2,D,degradation_ratio,1,0.78987898789879,
A2,D,recovery_time_s,5,6.2,6.832242384459145
A2,D,throughput_debt_kbit,5,16496.80384,11233.881618474376
A2,D,recovered,5,1.0,0.0
A2,D,isolation_s,5,20.0,13.18669784290214
A2,E,tp,5,1.0,0.0
A2,E,fp,5,0.0,0.0
A2,E,tn,5,2.0,0.0
A2,E,fn,5,0.0,0.0
A2,E,accuracy,5,1.0,0.0
A2,E,precision,5,1.0,0.0
A2,E,recall,5,1.0,0.0
A2,E,f1,5,1.0,0.0
A2,E,fpr,5,0.0,0.0
A2,E,fnr,5,0.0,0.0
A2,E,isolation_rate,5,1.0,0.0
A2,E,mean_detection_latency_s,5,24.0,11.12
A2,E,baseline_kbps,5,364.544,40.59706184324623
A2,E,attack_kbps,5,341.93408000000005,63.67853527074364
A2,E,recovered_kbps,5,327.56976171933303,28.692346796934018
A2,E,recovery_ratio,5,0.9004354017030822,0.054892392768351526
A2,E,degradation_ratio,5,0.9350247764522056,0.0855145354260228
A2,E,recovery_time_s,5,25.6,40.863163166842575
A2,E,throughput_debt_kbit,5,18047.221759999997,6514.494590650997
A2,E,recovered,5,1.0,0.0
A2,E,isolation_s,5,54.0,11.12
A3,C,tp,5,1.0,0.0
A3,C,fp,5,0.2,0.556
A3,C,tn,5,1.8,0.556
A3,C,fn,5,0.0,0.0
A3,C,accuracy,5,0.9333333333333332,0.18533333333333335
A3,C,precision,5,0.9,0.278
A3,C,recall,5,1.0,0.0
A3,C,f1,5,0.9333333333333332,0.18533333333333335
A3,C,fpr,5,0.1,0.278
A3,C,fnr,5,0.0,0.0
A3,C,isolation_rate,5,1.0,0.0
A3,C,mean_detection_latency_s,5,15.0,0.0
A3,C,baseline_kbps,5,364.544,40.59706184324623
A3,C,attack_kbps,5,336.09280862533694,46.837601364504536
A3,C,recovered_kbps,5,336.09280862533694,46.837601364504536
A3,C,recovery_ratio,5,0.9259366640269672,0.14441235453482595
A3,C,degradation_ratio,5,0.9259366640269672,0.14441235453482595
A3,C,recovery_time_s,0,,
A3,C,throughput_debt_kbit,5,18559.959039999998,14336.147530527845
A3,C,recovered,5,0.0,0.0
A3,C,isolation_s,0,,
